           0       7.137       1.954
        0.05        7.09       1.869
         0.1       7.064       1.813
         0.2       7.017       1.708
         0.3       6.973       1.602
         0.4       6.929       1.484
         0.5       6.881        1.35
         0.6       6.833       1.196
         0.7       6.771           1
         0.8       6.699      0.7404
         0.9        6.58      0.3201
        0.95       6.477    -0.06048
        0.99       6.238     -0.8477
      0.9997       5.792      -2.244
           1       3.778          -4
